date,mean
2006-12-31,1.18
2007-12-31,1.16
2008-12-31,1.19
2009-12-31,1.39
2010-12-31,1.28
2011-12-31,1.31
2012-12-31,1.26
2013-12-31,1.19
2014-12-31,1.52
2015-12-31,1.35
2016-12-31,1.39
2017-12-31,1.12
2018-12-31,1.29
2019-12-31,1.14
2020-12-31,1.25
2021-12-31,1.08
2022-12-31,1.4
2023-12-31,1.37
2024-12-31,1.25
2025-12-31,1.44
2026-12-31,1.32
2027-12-31,1.44
2028-12-31,1.25
2029-12-31,1.27
2030-12-31,1.19
2031-12-31,1.24
2032-12-31,1.32
2033-12-31,1.47
2034-12-31,1.16
2035-12-31,1.36
2036-12-31,1.44
2037-12-31,1.59
2038-12-31,1.26
2039-12-31,1.16
2040-12-31,1.33
2041-12-31,1.11
2042-12-31,1.25
2043-12-31,1.35
2044-12-31,1.49
2045-12-31,1.09
2046-12-31,1.0
2047-12-31,1.24
2048-12-31,1.34
2049-12-31,1.33
2050-12-31,1.2
2051-12-31,1.19
2052-12-31,1.32
2053-12-31,1.52
2054-12-31,1.45
2055-12-31,1.37
2056-12-31,1.38
2057-12-31,1.2
2058-12-31,1.08
2059-12-31,1.36
2060-12-31,1.47
2061-12-31,1.48
2062-12-31,1.33
2063-12-31,1.66
2064-12-31,1.3
2065-12-31,1.3
2066-12-31,1.17
2067-12-31,1.25
2068-12-31,1.26
2069-12-31,1.13
2070-12-31,1.33
2071-12-31,1.22
2072-12-31,1.21
2073-12-31,1.33
2074-12-31,1.47
2075-12-31,1.41
2076-12-31,1.29
2077-12-31,1.43
2078-12-31,1.51
2079-12-31,1.27
2080-12-31,1.42
2081-12-31,1.26
2082-12-31,1.36
2083-12-31,1.18
2084-12-31,1.7
2085-12-31,1.35
2086-12-31,1.24
2087-12-31,1.21
2088-12-31,1.39
2089-12-31,1.31
2090-12-31,1.56
2091-12-31,1.41
2092-12-31,1.22
2093-12-31,1.1
2094-12-31,1.06
2095-12-31,1.28
2096-12-31,1.37
2097-12-31,1.38
2098-12-31,1.4
2099-12-31,1.26
