,historical,rcp45,rcp85
1950-12-31,460.89,,
1951-12-31,422.92,,
1952-12-31,415.71,,
1953-12-31,460.14,,
1954-12-31,461.43,,
1955-12-31,454.5,,
1956-12-31,433.13,,
1957-12-31,431.44,,
1958-12-31,424.97,,
1959-12-31,418.7,,
1960-12-31,427.82,,
1961-12-31,424.77,,
1962-12-31,453.16,,
1963-12-31,431.82,,
1964-12-31,401.48,,
1965-12-31,391.4,,
1966-12-31,380.72,,
1967-12-31,427.81,,
1968-12-31,419.89,,
1969-12-31,413.63,,
1970-12-31,413.18,,
1971-12-31,401.09,,
1972-12-31,429.17,,
1973-12-31,440.63,,
1974-12-31,432.9,,
1975-12-31,404.49,,
1976-12-31,413.65,,
1977-12-31,477.86,,
1978-12-31,498.84,,
1979-12-31,476.69,,
1980-12-31,448.81,,
1981-12-31,488.11,,
1982-12-31,440.92,,
1983-12-31,377.22,,
1984-12-31,447.32,,
1985-12-31,469.95,,
1986-12-31,457.25,,
1987-12-31,482.22,,
1988-12-31,510.14,,
1989-12-31,516.15,,
1990-12-31,498.28,,
1991-12-31,488.31,,
1992-12-31,429.44,,
1993-12-31,416.91,,
1994-12-31,519.39,,
1995-12-31,493.84,,
1996-12-31,494.86,,
1997-12-31,538.55,,
1998-12-31,550.13,,
1999-12-31,535.05,,
2000-12-31,576.05,,
2001-12-31,539.33,,
2002-12-31,540.2,,
2003-12-31,545.81,,
2004-12-31,563.89,,
2005-12-31,560.57,,
2006-12-31,,607.31,626.4
2007-12-31,,584.29,656.81
2008-12-31,,635.43,638.48
2009-12-31,,601.23,614.31
2010-12-31,,616.73,603.69
2011-12-31,,617.51,652.86
2012-12-31,,682.02,698.58
2013-12-31,,632.02,610.4
2014-12-31,,625.54,668.8
2015-12-31,,633.89,683.87
2016-12-31,,619.76,691.38
2017-12-31,,622.12,687.71
2018-12-31,,684.19,764.04
2019-12-31,,646.68,717.79
2020-12-31,,657.53,730.8
2021-12-31,,664.51,700.63
2022-12-31,,765.69,793.84
2023-12-31,,706.53,757.97
2024-12-31,,742.86,752.47
2025-12-31,,762.68,802.99
2026-12-31,,778.12,797.38
2027-12-31,,758.31,766.52
2028-12-31,,746.74,824.76
2029-12-31,,805.63,795.52
2030-12-31,,758.59,883.59
2031-12-31,,771.21,806.57
2032-12-31,,852.59,801.5
2033-12-31,,827.9,829.85
2034-12-31,,879.71,857.21
2035-12-31,,859.92,899.52
2036-12-31,,832.08,886.47
2037-12-31,,819.62,902.78
2038-12-31,,828.14,941.39
2039-12-31,,894.12,879.14
2040-12-31,,882.84,980.37
2041-12-31,,933.2,967.4
2042-12-31,,900.83,989.0
2043-12-31,,943.5,1006.49
2044-12-31,,912.01,941.13
2045-12-31,,935.99,1012.55
2046-12-31,,911.35,1048.58
2047-12-31,,904.44,1047.35
2048-12-31,,942.87,1066.36
2049-12-31,,926.19,1094.58
2050-12-31,,967.24,1109.11
2051-12-31,,961.77,1115.24
2052-12-31,,967.5,1132.49
2053-12-31,,978.15,1184.12
2054-12-31,,980.44,1155.01
2055-12-31,,962.81,1183.71
2056-12-31,,962.67,1219.23
2057-12-31,,975.29,1219.22
2058-12-31,,1069.58,1145.92
2059-12-31,,1002.93,1265.49
2060-12-31,,998.15,1264.85
2061-12-31,,1053.95,1269.0
2062-12-31,,1054.1,1286.27
2063-12-31,,1025.39,1284.6
2064-12-31,,973.29,1377.11
2065-12-31,,1005.14,1340.72
2066-12-31,,1005.1,1343.08
2067-12-31,,995.62,1406.89
2068-12-31,,983.48,1395.75
2069-12-31,,1030.06,1460.21
2070-12-31,,1036.74,1478.25
2071-12-31,,1102.89,1485.35
2072-12-31,,1106.18,1478.4
2073-12-31,,1065.53,1508.46
2074-12-31,,1108.31,1536.59
2075-12-31,,1104.52,1572.93
2076-12-31,,1119.22,1562.53
2077-12-31,,1118.75,1645.03
2078-12-31,,1111.75,1701.08
2079-12-31,,1106.7,1617.68
2080-12-31,,1055.79,1608.3
2081-12-31,,1035.98,1687.74
2082-12-31,,1097.37,1732.95
2083-12-31,,1104.37,1683.75
2084-12-31,,1114.15,1723.06
2085-12-31,,1072.31,1703.41
2086-12-31,,1114.64,1774.87
2087-12-31,,1099.12,1780.72
2088-12-31,,1136.36,1804.14
2089-12-31,,1076.05,1879.82
2090-12-31,,1110.8,1904.13
2091-12-31,,1110.18,1845.72
2092-12-31,,1148.78,1937.85
2093-12-31,,1084.37,1954.86
2094-12-31,,1128.14,2026.55
2095-12-31,,1122.04,1890.24
2096-12-31,,1133.1,2054.56
2097-12-31,,1152.86,2001.87
2098-12-31,,1152.71,2048.1
2099-12-31,,1150.88,2020.88
