date,spei
2015-12-31,-0.22
2016-12-31,0.24
2017-12-31,0.63
2018-12-31,-0.0
2019-12-31,-0.51
2020-12-31,-0.25
2021-12-31,-0.06
2022-12-31,0.14
2023-12-31,-0.34
2024-12-31,0.12
2025-12-31,-0.68
2026-12-31,-0.75
2027-12-31,-0.24
2028-12-31,-0.24
2029-12-31,-0.19
2030-12-31,-0.13
2031-12-31,0.0
2032-12-31,0.24
2033-12-31,-0.56
2034-12-31,-0.26
2035-12-31,0.15
2036-12-31,-0.25
2037-12-31,-0.49
2038-12-31,-0.92
2039-12-31,-0.33
2040-12-31,-0.14
2041-12-31,-0.82
2042-12-31,-0.63
2043-12-31,-0.49
2044-12-31,-0.11
2045-12-31,-0.46
2046-12-31,-0.18
2047-12-31,-0.65
2048-12-31,-0.23
2049-12-31,-0.2
2050-12-31,-0.92
2051-12-31,-0.56
2052-12-31,-0.82
2053-12-31,-0.33
2054-12-31,-0.33
2055-12-31,-0.73
2056-12-31,-0.28
2057-12-31,-0.66
2058-12-31,0.43
2059-12-31,0.03
2060-12-31,-0.28
2061-12-31,-0.64
2062-12-31,-0.47
2063-12-31,-0.33
2064-12-31,-0.35
2065-12-31,-0.75
2066-12-31,-0.25
2067-12-31,-0.52
2068-12-31,-0.52
2069-12-31,-0.29
2070-12-31,0.24
2071-12-31,-0.62
2072-12-31,0.09
2073-12-31,-0.64
2074-12-31,-0.04
2075-12-31,-0.11
2076-12-31,-0.54
2077-12-31,-0.93
2078-12-31,-0.46
2079-12-31,-0.75
2080-12-31,-1.02
2081-12-31,-0.29
2082-12-31,-1.13
2083-12-31,-0.37
2084-12-31,-0.53
2085-12-31,-0.58
2086-12-31,-1.05
2087-12-31,-1.13
2088-12-31,-0.86
2089-12-31,-0.45
2090-12-31,-0.62
2091-12-31,-1.28
2092-12-31,-1.5
2093-12-31,-0.96
2094-12-31,-1.0
2095-12-31,-1.56
2096-12-31,-0.51
2097-12-31,-0.6
2098-12-31,-0.33
2099-12-31,-0.43
2100-12-31,-0.53
