date,mean
2006-12-31,0.54
2007-12-31,0.55
2008-12-31,0.5
2009-12-31,0.5
2010-12-31,0.53
2011-12-31,0.56
2012-12-31,0.55
2013-12-31,0.49
2014-12-31,0.5
2015-12-31,0.51
2016-12-31,0.58
2017-12-31,0.54
2018-12-31,0.55
2019-12-31,0.54
2020-12-31,0.53
2021-12-31,0.53
2022-12-31,0.56
2023-12-31,0.55
2024-12-31,0.55
2025-12-31,0.56
2026-12-31,0.55
2027-12-31,0.51
2028-12-31,0.55
2029-12-31,0.53
2030-12-31,0.56
2031-12-31,0.58
2032-12-31,0.58
2033-12-31,0.54
2034-12-31,0.51
2035-12-31,0.57
2036-12-31,0.52
2037-12-31,0.55
2038-12-31,0.56
2039-12-31,0.55
2040-12-31,0.53
2041-12-31,0.56
2042-12-31,0.49
2043-12-31,0.51
2044-12-31,0.57
2045-12-31,0.55
2046-12-31,0.58
2047-12-31,0.56
2048-12-31,0.52
2049-12-31,0.6
2050-12-31,0.55
2051-12-31,0.52
2052-12-31,0.58
2053-12-31,0.53
2054-12-31,0.58
2055-12-31,0.6
2056-12-31,0.55
2057-12-31,0.55
2058-12-31,0.54
2059-12-31,0.56
2060-12-31,0.58
2061-12-31,0.6
2062-12-31,0.55
2063-12-31,0.61
2064-12-31,0.54
2065-12-31,0.58
2066-12-31,0.58
2067-12-31,0.53
2068-12-31,0.53
2069-12-31,0.59
2070-12-31,0.58
2071-12-31,0.52
2072-12-31,0.54
2073-12-31,0.55
2074-12-31,0.58
2075-12-31,0.57
2076-12-31,0.52
2077-12-31,0.56
2078-12-31,0.56
2079-12-31,0.54
2080-12-31,0.54
2081-12-31,0.6
2082-12-31,0.55
2083-12-31,0.58
2084-12-31,0.54
2085-12-31,0.6
2086-12-31,0.57
2087-12-31,0.59
2088-12-31,0.57
2089-12-31,0.57
2090-12-31,0.55
2091-12-31,0.58
2092-12-31,0.56
2093-12-31,0.63
2094-12-31,0.56
2095-12-31,0.55
2096-12-31,0.57
2097-12-31,0.55
2098-12-31,0.58
2099-12-31,0.5
