date,mean
1950-12-31,20.84
1951-12-31,20.89
1952-12-31,20.9
1953-12-31,20.79
1954-12-31,20.54
1955-12-31,20.62
1956-12-31,20.61
1957-12-31,20.88
1958-12-31,20.74
1959-12-31,20.45
1960-12-31,20.92
1961-12-31,20.64
1962-12-31,20.75
1963-12-31,20.49
1964-12-31,20.42
1965-12-31,20.26
1966-12-31,20.55
1967-12-31,20.87
1968-12-31,20.45
1969-12-31,20.44
1970-12-31,20.54
1971-12-31,20.63
1972-12-31,20.73
1973-12-31,20.79
1974-12-31,20.61
1975-12-31,20.67
1976-12-31,20.42
1977-12-31,20.61
1978-12-31,20.84
1979-12-31,21.02
1980-12-31,20.75
1981-12-31,21.26
1982-12-31,20.72
1983-12-31,20.47
1984-12-31,20.73
1985-12-31,20.81
1986-12-31,21.26
1987-12-31,20.96
1988-12-31,20.79
1989-12-31,21.07
1990-12-31,20.97
1991-12-31,21.35
1992-12-31,20.25
1993-12-31,20.88
1994-12-31,21.25
1995-12-31,21.09
1996-12-31,21.12
1997-12-31,21.28
1998-12-31,21.4
1999-12-31,21.47
2000-12-31,21.57
2001-12-31,21.21
2002-12-31,21.42
2003-12-31,21.59
2004-12-31,21.35
2005-12-31,22.14
