date,spei
2015-12-31,-0.29
2016-12-31,0.29
2017-12-31,0.13
2018-12-31,0.19
2019-12-31,0.97
2020-12-31,0.74
2021-12-31,0.46
2022-12-31,0.66
2023-12-31,-0.15
2024-12-31,-0.12
2025-12-31,-0.41
2026-12-31,0.14
2027-12-31,-0.5
2028-12-31,-0.33
2029-12-31,-0.58
2030-12-31,-0.07
2031-12-31,-0.22
2032-12-31,0.48
2033-12-31,0.78
2034-12-31,0.88
2035-12-31,0.26
2036-12-31,0.39
2037-12-31,0.29
2038-12-31,-0.01
2039-12-31,-0.13
2040-12-31,-0.25
2041-12-31,-0.35
2042-12-31,-0.02
2043-12-31,0.01
2044-12-31,-0.05
2045-12-31,0.29
2046-12-31,0.18
2047-12-31,0.2
2048-12-31,0.22
2049-12-31,0.49
2050-12-31,0.1
2051-12-31,-0.02
2052-12-31,-0.32
2053-12-31,-0.13
2054-12-31,0.4
2055-12-31,0.23
2056-12-31,0.21
2057-12-31,0.14
2058-12-31,0.3
2059-12-31,-0.17
2060-12-31,-0.24
2061-12-31,0.13
2062-12-31,0.55
2063-12-31,0.44
2064-12-31,0.26
2065-12-31,0.2
2066-12-31,0.53
2067-12-31,0.21
2068-12-31,0.25
2069-12-31,-0.44
2070-12-31,0.2
2071-12-31,-0.23
2072-12-31,0.04
2073-12-31,-0.4
2074-12-31,-0.26
2075-12-31,0.2
2076-12-31,1.11
2077-12-31,0.21
2078-12-31,0.18
2079-12-31,0.24
2080-12-31,0.56
2081-12-31,-0.13
2082-12-31,-0.01
2083-12-31,-0.06
2084-12-31,0.04
2085-12-31,0.07
2086-12-31,0.1
2087-12-31,-0.17
2088-12-31,-0.17
2089-12-31,0.49
2090-12-31,0.14
2091-12-31,0.23
2092-12-31,0.46
2093-12-31,-0.03
2094-12-31,0.23
2095-12-31,0.62
2096-12-31,-0.03
2097-12-31,-0.0
2098-12-31,-0.07
2099-12-31,0.03
2100-12-31,0.47
