,historical,rcp45,rcp85
1950-12-31,82.9,,
1951-12-31,70.83,,
1952-12-31,68.94,,
1953-12-31,68.14,,
1954-12-31,66.08,,
1955-12-31,74.93,,
1956-12-31,65.85,,
1957-12-31,75.75,,
1958-12-31,70.66,,
1959-12-31,65.65,,
1960-12-31,66.08,,
1961-12-31,63.04,,
1962-12-31,69.61,,
1963-12-31,68.32,,
1964-12-31,74.12,,
1965-12-31,71.96,,
1966-12-31,66.44,,
1967-12-31,83.26,,
1968-12-31,56.21,,
1969-12-31,64.37,,
1970-12-31,71.65,,
1971-12-31,74.0,,
1972-12-31,74.57,,
1973-12-31,68.65,,
1974-12-31,69.06,,
1975-12-31,80.39,,
1976-12-31,67.76,,
1977-12-31,65.55,,
1978-12-31,66.22,,
1979-12-31,78.58,,
1980-12-31,68.42,,
1981-12-31,66.07,,
1982-12-31,71.77,,
1983-12-31,70.9,,
1984-12-31,69.21,,
1985-12-31,90.92,,
1986-12-31,63.51,,
1987-12-31,78.84,,
1988-12-31,72.26,,
1989-12-31,70.2,,
1990-12-31,76.58,,
1991-12-31,64.41,,
1992-12-31,81.59,,
1993-12-31,64.3,,
1994-12-31,72.15,,
1995-12-31,73.86,,
1996-12-31,69.34,,
1997-12-31,73.28,,
1998-12-31,70.39,,
1999-12-31,61.56,,
2000-12-31,78.82,,
2001-12-31,73.36,,
2002-12-31,70.76,,
2003-12-31,73.87,,
2004-12-31,81.32,,
2005-12-31,75.06,,
2006-12-31,,73.79,90.54
2007-12-31,,72.4,92.65
2008-12-31,,76.99,85.62
2009-12-31,,75.55,84.74
2010-12-31,,72.44,87.67
2011-12-31,,74.53,76.48
2012-12-31,,60.62,86.2
2013-12-31,,83.61,66.82
2014-12-31,,68.3,84.99
2015-12-31,,83.35,74.66
2016-12-31,,71.63,91.34
2017-12-31,,64.77,85.68
2018-12-31,,77.34,70.04
2019-12-31,,62.84,68.35
2020-12-31,,79.77,64.75
2021-12-31,,83.38,79.81
2022-12-31,,71.08,83.92
2023-12-31,,72.75,78.32
2024-12-31,,75.26,78.5
2025-12-31,,82.82,91.2
2026-12-31,,70.92,101.86
2027-12-31,,67.72,89.16
2028-12-31,,68.38,75.15
2029-12-31,,64.77,91.82
2030-12-31,,73.0,80.32
2031-12-31,,74.85,75.22
2032-12-31,,78.04,89.36
2033-12-31,,69.23,85.84
2034-12-31,,75.73,77.72
2035-12-31,,64.16,99.55
2036-12-31,,77.36,89.11
2037-12-31,,75.64,90.22
2038-12-31,,69.2,88.04
2039-12-31,,78.25,75.25
2040-12-31,,73.31,92.98
2041-12-31,,79.16,75.72
2042-12-31,,82.52,78.61
2043-12-31,,87.19,79.82
2044-12-31,,79.28,91.78
2045-12-31,,75.53,99.07
2046-12-31,,76.87,114.36
2047-12-31,,80.34,97.92
2048-12-31,,74.2,80.24
2049-12-31,,86.48,82.68
2050-12-31,,82.2,89.69
2051-12-31,,76.72,79.03
2052-12-31,,83.17,78.63
2053-12-31,,86.05,92.41
2054-12-31,,75.07,84.88
2055-12-31,,82.51,94.98
2056-12-31,,75.72,103.38
2057-12-31,,80.17,96.09
2058-12-31,,71.47,97.96
2059-12-31,,74.85,83.96
2060-12-31,,82.35,88.94
2061-12-31,,76.38,85.8
2062-12-31,,80.51,82.55
2063-12-31,,82.82,85.33
2064-12-31,,83.95,91.51
2065-12-31,,74.91,88.36
2066-12-31,,74.66,94.58
2067-12-31,,72.03,93.14
2068-12-31,,87.37,82.64
2069-12-31,,74.95,100.27
2070-12-31,,81.57,88.14
2071-12-31,,79.95,93.12
2072-12-31,,85.04,92.14
2073-12-31,,80.69,104.8
2074-12-31,,84.74,97.25
2075-12-31,,84.09,81.79
2076-12-31,,77.22,91.33
2077-12-31,,97.75,103.88
2078-12-31,,85.72,86.1
2079-12-31,,80.26,107.24
2080-12-31,,82.23,93.2
2081-12-31,,87.95,102.52
2082-12-31,,79.45,113.33
2083-12-31,,81.52,80.89
2084-12-31,,81.69,100.8
2085-12-31,,86.54,83.58
2086-12-31,,73.59,81.6
2087-12-31,,74.92,107.83
2088-12-31,,72.48,88.11
2089-12-31,,82.11,91.58
2090-12-31,,89.15,87.36
2091-12-31,,83.88,91.53
2092-12-31,,74.32,99.74
2093-12-31,,85.11,92.78
2094-12-31,,77.45,92.1
2095-12-31,,78.92,86.92
2096-12-31,,86.37,93.76
2097-12-31,,86.15,111.85
2098-12-31,,73.59,87.42
2099-12-31,,77.81,82.21
