date,mean
1950-12-31,21.56
1951-12-31,21.6
1952-12-31,21.55
1953-12-31,21.35
1954-12-31,21.14
1955-12-31,21.24
1956-12-31,21.33
1957-12-31,21.48
1958-12-31,21.31
1959-12-31,21.09
1960-12-31,21.43
1961-12-31,21.28
1962-12-31,21.44
1963-12-31,21.13
1964-12-31,20.99
1965-12-31,20.87
1966-12-31,21.26
1967-12-31,21.54
1968-12-31,21.0
1969-12-31,21.06
1970-12-31,21.13
1971-12-31,21.27
1972-12-31,21.32
1973-12-31,21.4
1974-12-31,21.21
1975-12-31,21.24
1976-12-31,20.86
1977-12-31,21.34
1978-12-31,21.47
1979-12-31,21.65
1980-12-31,21.36
1981-12-31,21.76
1982-12-31,21.31
1983-12-31,21.0
1984-12-31,21.29
1985-12-31,21.26
1986-12-31,21.79
1987-12-31,21.45
1988-12-31,21.29
1989-12-31,21.66
1990-12-31,21.38
1991-12-31,21.89
1992-12-31,20.75
1993-12-31,21.41
1994-12-31,21.9
1995-12-31,21.63
1996-12-31,21.67
1997-12-31,21.79
1998-12-31,21.95
1999-12-31,21.97
2000-12-31,22.08
2001-12-31,21.62
2002-12-31,21.92
2003-12-31,22.06
2004-12-31,21.85
2005-12-31,22.74
