,historical,rcp45,rcp85
1950-12-31,1635.26,,
1951-12-31,1645.13,,
1952-12-31,1679.87,,
1953-12-31,1600.84,,
1954-12-31,1522.48,,
1955-12-31,1571.79,,
1956-12-31,1617.23,,
1957-12-31,1630.53,,
1958-12-31,1577.76,,
1959-12-31,1568.81,,
1960-12-31,1607.6,,
1961-12-31,1610.89,,
1962-12-31,1629.51,,
1963-12-31,1539.54,,
1964-12-31,1574.5,,
1965-12-31,1553.73,,
1966-12-31,1556.79,,
1967-12-31,1613.0,,
1968-12-31,1544.33,,
1969-12-31,1538.34,,
1970-12-31,1539.8,,
1971-12-31,1600.63,,
1972-12-31,1628.05,,
1973-12-31,1604.46,,
1974-12-31,1628.63,,
1975-12-31,1571.99,,
1976-12-31,1530.29,,
1977-12-31,1602.65,,
1978-12-31,1609.89,,
1979-12-31,1593.43,,
1980-12-31,1646.77,,
1981-12-31,1703.47,,
1982-12-31,1605.99,,
1983-12-31,1538.62,,
1984-12-31,1608.33,,
1985-12-31,1605.38,,
1986-12-31,1651.65,,
1987-12-31,1643.39,,
1988-12-31,1595.06,,
1989-12-31,1693.05,,
1990-12-31,1694.0,,
1991-12-31,1741.75,,
1992-12-31,1533.07,,
1993-12-31,1622.97,,
1994-12-31,1739.37,,
1995-12-31,1670.01,,
1996-12-31,1706.54,,
1997-12-31,1728.61,,
1998-12-31,1769.06,,
1999-12-31,1795.95,,
2000-12-31,1818.99,,
2001-12-31,1755.57,,
2002-12-31,1752.55,,
2003-12-31,1782.24,,
2004-12-31,1783.44,,
2005-12-31,1838.15,,
2006-12-31,,1877.82,1827.98
2007-12-31,,1961.88,1907.61
2008-12-31,,1923.05,1957.38
2009-12-31,,1813.77,1853.69
2010-12-31,,1904.77,1922.1
2011-12-31,,1931.29,1963.71
2012-12-31,,1890.17,2023.39
2013-12-31,,1917.38,1960.84
2014-12-31,,1991.98,1970.55
2015-12-31,,1966.21,1936.44
2016-12-31,,2018.12,2000.21
2017-12-31,,2004.73,1998.55
2018-12-31,,1960.95,2058.73
2019-12-31,,1969.6,2101.31
2020-12-31,,2049.74,2066.49
2021-12-31,,2030.41,2071.15
2022-12-31,,1993.36,2009.43
2023-12-31,,2014.36,2138.1
2024-12-31,,2020.7,2121.95
2025-12-31,,2051.51,2063.07
2026-12-31,,2123.83,2067.05
2027-12-31,,2113.17,2170.26
2028-12-31,,2155.58,2204.3
2029-12-31,,2146.71,2150.74
2030-12-31,,2148.47,2240.07
2031-12-31,,2093.56,2223.49
2032-12-31,,2179.77,2191.43
2033-12-31,,2169.13,2270.89
2034-12-31,,2191.82,2229.03
2035-12-31,,2256.62,2318.24
2036-12-31,,2220.44,2366.0
2037-12-31,,2201.05,2371.13
2038-12-31,,2233.56,2307.72
2039-12-31,,2265.08,2370.03
2040-12-31,,2324.88,2393.44
2041-12-31,,2267.44,2362.6
2042-12-31,,2262.62,2464.82
2043-12-31,,2289.96,2403.5
2044-12-31,,2200.84,2490.21
2045-12-31,,2335.41,2488.02
2046-12-31,,2383.22,2556.9
2047-12-31,,2392.44,2546.56
2048-12-31,,2325.21,2614.78
2049-12-31,,2361.11,2579.76
2050-12-31,,2415.72,2589.79
2051-12-31,,2319.18,2611.27
2052-12-31,,2362.61,2634.83
2053-12-31,,2342.5,2713.93
2054-12-31,,2313.46,2773.38
2055-12-31,,2407.51,2727.23
2056-12-31,,2423.47,2772.14
2057-12-31,,2426.39,2751.94
2058-12-31,,2538.05,2880.03
2059-12-31,,2498.05,2829.85
2060-12-31,,2434.23,2873.15
2061-12-31,,2436.68,2843.89
2062-12-31,,2503.48,2932.78
2063-12-31,,2453.7,2945.82
2064-12-31,,2432.95,3067.16
2065-12-31,,2498.85,2983.94
2066-12-31,,2467.74,2992.17
2067-12-31,,2498.34,3086.52
2068-12-31,,2455.98,3091.3
2069-12-31,,2497.9,3117.49
2070-12-31,,2489.1,3059.25
2071-12-31,,2490.71,3068.11
2072-12-31,,2582.22,3191.03
2073-12-31,,2479.72,3242.38
2074-12-31,,2525.93,3256.97
2075-12-31,,2575.73,3201.15
2076-12-31,,2578.7,3238.81
2077-12-31,,2527.65,3251.89
2078-12-31,,2495.01,3273.65
2079-12-31,,2528.03,3229.26
2080-12-31,,2564.88,3343.43
2081-12-31,,2516.57,3371.05
2082-12-31,,2691.79,3342.98
2083-12-31,,2679.55,3448.48
2084-12-31,,2546.88,3389.38
2085-12-31,,2585.19,3527.18
2086-12-31,,2543.14,3457.87
2087-12-31,,2547.79,3529.87
2088-12-31,,2466.66,3675.86
2089-12-31,,2484.67,3527.18
2090-12-31,,2495.12,3692.04
2091-12-31,,2509.92,3648.08
2092-12-31,,2575.87,3678.76
2093-12-31,,2578.13,3727.08
2094-12-31,,2546.95,3841.3
2095-12-31,,2591.54,3734.86
2096-12-31,,2505.51,3786.13
2097-12-31,,2591.39,3746.16
2098-12-31,,2550.99,3747.99
2099-12-31,,2510.89,3868.99
