,historical,rcp45,rcp85
1950-12-31,3757.19,,
1951-12-31,3729.38,,
1952-12-31,3808.44,,
1953-12-31,3862.22,,
1954-12-31,3819.83,,
1955-12-31,3931.66,,
1956-12-31,3861.23,,
1957-12-31,3741.33,,
1958-12-31,3795.54,,
1959-12-31,3895.82,,
1960-12-31,3762.19,,
1961-12-31,3839.29,,
1962-12-31,3858.0,,
1963-12-31,3909.55,,
1964-12-31,3998.38,,
1965-12-31,3995.96,,
1966-12-31,3811.5,,
1967-12-31,3800.59,,
1968-12-31,3951.07,,
1969-12-31,3866.69,,
1970-12-31,3873.66,,
1971-12-31,3863.11,,
1972-12-31,3832.63,,
1973-12-31,3773.83,,
1974-12-31,3881.97,,
1975-12-31,3845.66,,
1976-12-31,3933.6,,
1977-12-31,3830.17,,
1978-12-31,3755.28,,
1979-12-31,3647.65,,
1980-12-31,3849.16,,
1981-12-31,3685.25,,
1982-12-31,3817.48,,
1983-12-31,3889.07,,
1984-12-31,3838.56,,
1985-12-31,3836.89,,
1986-12-31,3652.02,,
1987-12-31,3762.33,,
1988-12-31,3866.4,,
1989-12-31,3711.46,,
1990-12-31,3837.53,,
1991-12-31,3537.03,,
1992-12-31,4054.72,,
1993-12-31,3746.31,,
1994-12-31,3697.87,,
1995-12-31,3737.65,,
1996-12-31,3704.02,,
1997-12-31,3630.33,,
1998-12-31,3630.25,,
1999-12-31,3597.13,,
2000-12-31,3630.66,,
2001-12-31,3735.02,,
2002-12-31,3570.94,,
2003-12-31,3590.22,,
2004-12-31,3708.12,,
2005-12-31,3243.56,,
2006-12-31,,3522.76,3543.04
2007-12-31,,3315.26,3467.55
2008-12-31,,3593.04,3432.05
2009-12-31,,3473.29,3552.84
2010-12-31,,3554.82,3499.57
2011-12-31,,3535.47,3491.06
2012-12-31,,3517.48,3335.32
2013-12-31,,3503.74,3411.49
2014-12-31,,3368.23,3435.87
2015-12-31,,3444.13,3562.36
2016-12-31,,3424.87,3482.13
2017-12-31,,3355.24,3470.55
2018-12-31,,3493.9,3428.48
2019-12-31,,3376.94,3316.19
2020-12-31,,3431.35,3417.71
2021-12-31,,3373.36,3458.26
2022-12-31,,3389.57,3405.83
2023-12-31,,3367.35,3382.0
2024-12-31,,3361.11,3387.41
2025-12-31,,3256.33,3254.0
2026-12-31,,3294.87,3305.19
2027-12-31,,3325.1,3386.66
2028-12-31,,3281.66,3337.76
2029-12-31,,3335.45,3253.8
2030-12-31,,3178.18,3098.1
2031-12-31,,3279.91,3230.4
2032-12-31,,3272.22,3252.7
2033-12-31,,3185.3,3129.22
2034-12-31,,3257.35,3184.58
2035-12-31,,3175.17,3167.86
2036-12-31,,3129.34,3178.17
2037-12-31,,3243.34,3193.44
2038-12-31,,3174.69,3041.52
2039-12-31,,3112.27,3135.49
2040-12-31,,3174.02,3178.16
2041-12-31,,3116.35,3052.13
2042-12-31,,3203.09,3013.62
2043-12-31,,3122.29,2956.27
2044-12-31,,3125.38,3013.19
2045-12-31,,3059.52,3045.9
2046-12-31,,3019.66,3053.06
2047-12-31,,3168.94,2978.11
2048-12-31,,3196.91,2970.67
2049-12-31,,3087.62,2960.59
2050-12-31,,3219.09,2808.44
2051-12-31,,3129.88,2980.74
2052-12-31,,3052.71,2956.24
2053-12-31,,3050.53,2880.54
2054-12-31,,2921.94,2845.59
2055-12-31,,3049.25,2882.22
2056-12-31,,3005.95,2816.28
2057-12-31,,3005.33,2883.88
2058-12-31,,2984.23,2778.94
2059-12-31,,3016.43,2675.98
2060-12-31,,3041.2,2792.43
2061-12-31,,2919.19,2749.21
2062-12-31,,2978.27,2749.58
2063-12-31,,2973.53,2714.08
2064-12-31,,2967.66,2732.94
2065-12-31,,2933.39,2666.64
2066-12-31,,2905.49,2672.65
2067-12-31,,2998.66,2798.6
2068-12-31,,3027.53,2636.05
2069-12-31,,2909.44,2614.0
2070-12-31,,2977.7,2524.6
2071-12-31,,2912.73,2579.9
2072-12-31,,3056.02,2585.84
2073-12-31,,2963.0,2525.4
2074-12-31,,2992.39,2499.96
2075-12-31,,3031.42,2517.45
2076-12-31,,3014.12,2455.05
2077-12-31,,2901.88,2570.9
2078-12-31,,2887.91,2452.55
2079-12-31,,3048.46,2418.03
2080-12-31,,2943.0,2390.03
2081-12-31,,2950.9,2370.13
2082-12-31,,2808.52,2374.27
2083-12-31,,2827.54,2395.16
2084-12-31,,2898.39,2371.99
2085-12-31,,2865.68,2369.86
2086-12-31,,2938.87,2451.95
2087-12-31,,2904.18,2312.2
2088-12-31,,2958.31,2389.07
2089-12-31,,2997.0,2334.4
2090-12-31,,2967.24,2297.0
2091-12-31,,2979.75,2193.26
2092-12-31,,2861.72,2290.58
2093-12-31,,2862.9,2247.81
2094-12-31,,2926.08,2150.37
2095-12-31,,2862.73,2295.38
2096-12-31,,2877.28,2180.25
2097-12-31,,2820.44,2287.01
2098-12-31,,2828.48,2194.73
2099-12-31,,2376.76,1805.89
