date,mean
2006-12-31,18.95
2007-12-31,19.58
2008-12-31,19.07
2009-12-31,19.13
2010-12-31,19.06
2011-12-31,19.17
2012-12-31,19.21
2013-12-31,19.23
2014-12-31,19.68
2015-12-31,19.4
2016-12-31,19.38
2017-12-31,19.59
2018-12-31,19.38
2019-12-31,19.51
2020-12-31,19.61
2021-12-31,19.58
2022-12-31,19.53
2023-12-31,19.56
2024-12-31,19.58
2025-12-31,19.87
2026-12-31,19.94
2027-12-31,19.97
2028-12-31,19.9
2029-12-31,19.82
2030-12-31,20.12
2031-12-31,19.94
2032-12-31,20.05
2033-12-31,20.17
2034-12-31,20.12
2035-12-31,20.28
2036-12-31,20.38
2037-12-31,20.0
2038-12-31,20.36
2039-12-31,20.47
2040-12-31,20.52
2041-12-31,20.49
2042-12-31,20.38
2043-12-31,20.56
2044-12-31,20.36
2045-12-31,20.66
2046-12-31,20.87
2047-12-31,20.6
2048-12-31,20.4
2049-12-31,20.52
2050-12-31,20.44
2051-12-31,20.51
2052-12-31,20.72
2053-12-31,20.75
2054-12-31,20.83
2055-12-31,20.71
2056-12-31,20.98
2057-12-31,20.98
2058-12-31,20.96
2059-12-31,20.93
2060-12-31,20.73
2061-12-31,20.87
2062-12-31,21.14
2063-12-31,20.99
2064-12-31,20.82
2065-12-31,21.07
2066-12-31,21.03
2067-12-31,20.85
2068-12-31,20.8
2069-12-31,21.17
2070-12-31,21.02
2071-12-31,21.24
2072-12-31,20.98
2073-12-31,21.07
2074-12-31,21.15
2075-12-31,21.06
2076-12-31,21.17
2077-12-31,21.22
2078-12-31,21.22
2079-12-31,20.93
2080-12-31,21.24
2081-12-31,21.1
2082-12-31,21.63
2083-12-31,21.53
2084-12-31,21.15
2085-12-31,21.43
2086-12-31,21.12
2087-12-31,21.29
2088-12-31,21.1
2089-12-31,21.02
2090-12-31,21.1
2091-12-31,21.02
2092-12-31,21.34
2093-12-31,21.35
2094-12-31,21.33
2095-12-31,21.37
2096-12-31,21.16
2097-12-31,21.55
2098-12-31,21.42
2099-12-31,21.47
