date,mean
2006-12-31,25.38
2007-12-31,25.89
2008-12-31,25.55
2009-12-31,25.38
2010-12-31,25.46
2011-12-31,25.46
2012-12-31,25.63
2013-12-31,25.68
2014-12-31,25.89
2015-12-31,25.73
2016-12-31,25.74
2017-12-31,25.93
2018-12-31,25.8
2019-12-31,25.59
2020-12-31,25.79
2021-12-31,25.93
2022-12-31,25.78
2023-12-31,25.82
2024-12-31,25.89
2025-12-31,26.1
2026-12-31,26.22
2027-12-31,26.12
2028-12-31,26.13
2029-12-31,26.06
2030-12-31,26.39
2031-12-31,26.08
2032-12-31,26.2
2033-12-31,26.11
2034-12-31,26.26
2035-12-31,26.35
2036-12-31,26.56
2037-12-31,26.17
2038-12-31,26.46
2039-12-31,26.7
2040-12-31,26.72
2041-12-31,26.59
2042-12-31,26.4
2043-12-31,26.51
2044-12-31,26.39
2045-12-31,26.8
2046-12-31,26.8
2047-12-31,26.71
2048-12-31,26.64
2049-12-31,26.76
2050-12-31,26.83
2051-12-31,26.47
2052-12-31,26.68
2053-12-31,26.76
2054-12-31,26.89
2055-12-31,26.67
2056-12-31,26.99
2057-12-31,26.87
2058-12-31,27.02
2059-12-31,27.0
2060-12-31,26.88
2061-12-31,27.09
2062-12-31,27.06
2063-12-31,26.98
2064-12-31,27.05
2065-12-31,27.11
2066-12-31,27.09
2067-12-31,27.02
2068-12-31,26.88
2069-12-31,27.25
2070-12-31,27.01
2071-12-31,27.08
2072-12-31,27.09
2073-12-31,27.1
2074-12-31,27.17
2075-12-31,27.2
2076-12-31,27.08
2077-12-31,27.13
2078-12-31,27.24
2079-12-31,26.97
2080-12-31,27.25
2081-12-31,27.03
2082-12-31,27.51
2083-12-31,27.48
2084-12-31,27.19
2085-12-31,27.38
2086-12-31,27.12
2087-12-31,27.22
2088-12-31,27.13
2089-12-31,27.07
2090-12-31,27.24
2091-12-31,27.02
2092-12-31,27.17
2093-12-31,27.49
2094-12-31,27.17
2095-12-31,27.23
2096-12-31,27.14
2097-12-31,27.53
2098-12-31,27.44
2099-12-31,27.33
