,historical,rcp45,rcp85
1950-12-31,0.0,,
1951-12-31,0.0,,
1952-12-31,0.0,,
1953-12-31,0.0,,
1954-12-31,0.0,,
1955-12-31,0.0,,
1956-12-31,0.27,,
1957-12-31,0.16,,
1958-12-31,0.33,,
1959-12-31,0.52,,
1960-12-31,0.0,,
1961-12-31,0.0,,
1962-12-31,0.0,,
1963-12-31,0.17,,
1964-12-31,0.15,,
1965-12-31,0.29,,
1966-12-31,0.14,,
1967-12-31,0.0,,
1968-12-31,0.13,,
1969-12-31,0.52,,
1970-12-31,0.06,,
1971-12-31,0.0,,
1972-12-31,0.0,,
1973-12-31,0.0,,
1974-12-31,0.07,,
1975-12-31,0.0,,
1976-12-31,0.2,,
1977-12-31,0.23,,
1978-12-31,0.19,,
1979-12-31,0.55,,
1980-12-31,0.0,,
1981-12-31,0.0,,
1982-12-31,0.0,,
1983-12-31,0.04,,
1984-12-31,0.0,,
1985-12-31,0.08,,
1986-12-31,0.33,,
1987-12-31,0.2,,
1988-12-31,0.15,,
1989-12-31,0.0,,
1990-12-31,0.08,,
1991-12-31,0.06,,
1992-12-31,0.04,,
1993-12-31,0.08,,
1994-12-31,0.03,,
1995-12-31,0.03,,
1996-12-31,0.13,,
1997-12-31,0.17,,
1998-12-31,0.0,,
1999-12-31,0.64,,
2000-12-31,0.54,,
2001-12-31,0.0,,
2002-12-31,0.23,,
2003-12-31,0.34,,
2004-12-31,0.29,,
2005-12-31,0.28,,
2006-12-31,,0.14,0.11
2007-12-31,,0.26,0.12
2008-12-31,,1.1,0.19
2009-12-31,,0.0,0.14
2010-12-31,,0.0,0.17
2011-12-31,,0.18,0.02
2012-12-31,,0.0,0.08
2013-12-31,,0.16,0.19
2014-12-31,,0.68,2.13
2015-12-31,,0.67,0.06
2016-12-31,,0.27,0.69
2017-12-31,,0.43,0.08
2018-12-31,,0.0,0.45
2019-12-31,,0.08,2.96
2020-12-31,,0.22,0.02
2021-12-31,,0.12,0.02
2022-12-31,,0.04,0.31
2023-12-31,,0.48,4.84
2024-12-31,,0.19,0.9
2025-12-31,,0.04,0.26
2026-12-31,,0.93,0.4
2027-12-31,,0.08,0.45
2028-12-31,,0.11,1.76
2029-12-31,,0.66,0.2
2030-12-31,,0.37,3.63
2031-12-31,,0.0,0.76
2032-12-31,,0.74,0.24
2033-12-31,,1.0,4.27
2034-12-31,,0.26,0.19
2035-12-31,,0.41,0.41
2036-12-31,,0.39,0.72
2037-12-31,,0.97,2.63
2038-12-31,,0.3,0.38
2039-12-31,,0.18,1.04
2040-12-31,,1.43,0.36
2041-12-31,,2.08,1.36
2042-12-31,,0.09,0.76
2043-12-31,,0.66,1.5
2044-12-31,,0.1,1.42
2045-12-31,,3.93,1.23
2046-12-31,,0.21,1.68
2047-12-31,,1.51,0.98
2048-12-31,,0.64,3.02
2049-12-31,,0.59,3.07
2050-12-31,,2.62,1.0
2051-12-31,,0.0,0.91
2052-12-31,,0.79,4.24
2053-12-31,,1.15,1.99
2054-12-31,,0.74,5.16
2055-12-31,,1.32,2.84
2056-12-31,,1.35,4.8
2057-12-31,,0.92,3.07
2058-12-31,,2.56,4.78
2059-12-31,,2.41,2.59
2060-12-31,,0.61,2.54
2061-12-31,,0.72,4.66
2062-12-31,,1.21,5.2
2063-12-31,,2.92,4.68
2064-12-31,,2.32,10.48
2065-12-31,,2.49,6.75
2066-12-31,,1.75,4.6
2067-12-31,,1.69,11.18
2068-12-31,,0.52,8.63
2069-12-31,,3.18,12.53
2070-12-31,,2.4,10.08
2071-12-31,,0.76,10.76
2072-12-31,,3.61,17.55
2073-12-31,,0.82,28.5
2074-12-31,,2.03,17.02
2075-12-31,,2.58,5.84
2076-12-31,,2.08,11.85
2077-12-31,,3.31,11.73
2078-12-31,,1.74,9.09
2079-12-31,,2.94,15.89
2080-12-31,,4.15,10.89
2081-12-31,,0.75,17.72
2082-12-31,,1.55,17.25
2083-12-31,,2.59,23.38
2084-12-31,,2.18,21.8
2085-12-31,,2.0,26.73
2086-12-31,,0.78,25.74
2087-12-31,,2.8,19.33
2088-12-31,,0.37,38.04
2089-12-31,,1.89,20.41
2090-12-31,,1.33,43.59
2091-12-31,,1.62,32.2
2092-12-31,,2.74,36.66
2093-12-31,,4.72,48.1
2094-12-31,,4.36,65.42
2095-12-31,,3.64,63.44
2096-12-31,,1.96,61.9
2097-12-31,,2.91,50.62
2098-12-31,,4.67,50.93
2099-12-31,,1.99,51.05
