,historical,rcp45,rcp85
1950-12-31,2313.92,,
1951-12-31,2332.72,,
1952-12-31,2339.81,,
1953-12-31,2361.96,,
1954-12-31,2406.85,,
1955-12-31,2437.94,,
1956-12-31,2460.82,,
1957-12-31,2294.92,,
1958-12-31,2301.85,,
1959-12-31,2462.9,,
1960-12-31,2244.7,,
1961-12-31,2408.99,,
1962-12-31,2405.54,,
1963-12-31,2427.52,,
1964-12-31,2439.98,,
1965-12-31,2510.7,,
1966-12-31,2365.17,,
1967-12-31,2328.39,,
1968-12-31,2479.37,,
1969-12-31,2379.08,,
1970-12-31,2369.8,,
1971-12-31,2431.88,,
1972-12-31,2342.52,,
1973-12-31,2310.3,,
1974-12-31,2337.54,,
1975-12-31,2364.71,,
1976-12-31,2409.58,,
1977-12-31,2415.42,,
1978-12-31,2308.66,,
1979-12-31,2216.8,,
1980-12-31,2358.16,,
1981-12-31,2223.8,,
1982-12-31,2311.29,,
1983-12-31,2381.06,,
1984-12-31,2320.09,,
1985-12-31,2290.84,,
1986-12-31,2157.99,,
1987-12-31,2262.35,,
1988-12-31,2344.31,,
1989-12-31,2255.0,,
1990-12-31,2274.14,,
1991-12-31,2108.46,,
1992-12-31,2456.71,,
1993-12-31,2301.7,,
1994-12-31,2270.37,,
1995-12-31,2275.09,,
1996-12-31,2229.21,,
1997-12-31,2204.91,,
1998-12-31,2151.47,,
1999-12-31,2161.41,,
2000-12-31,2157.08,,
2001-12-31,2196.27,,
2002-12-31,2179.05,,
2003-12-31,2155.87,,
2004-12-31,2268.37,,
2005-12-31,1936.37,,
2006-12-31,,2205.92,2162.68
2007-12-31,,2002.23,2062.85
2008-12-31,,2164.73,2016.98
2009-12-31,,2077.01,2154.63
2010-12-31,,2125.89,2071.86
2011-12-31,,2131.21,2147.47
2012-12-31,,2108.81,2030.38
2013-12-31,,2024.04,1985.3
2014-12-31,,1985.36,2089.85
2015-12-31,,2068.99,2183.5
2016-12-31,,2071.76,2149.11
2017-12-31,,1996.64,2107.0
2018-12-31,,2033.91,2064.96
2019-12-31,,2094.48,1975.79
2020-12-31,,2062.6,2099.04
2021-12-31,,1997.23,2067.67
2022-12-31,,2035.52,2041.09
2023-12-31,,2050.13,2026.07
2024-12-31,,2019.72,1989.19
2025-12-31,,1901.73,1845.62
2026-12-31,,1955.23,1972.64
2027-12-31,,1985.61,2000.59
2028-12-31,,1972.4,2050.2
2029-12-31,,2023.08,1915.49
2030-12-31,,1855.02,1848.81
2031-12-31,,1917.43,1880.68
2032-12-31,,1946.75,1848.79
2033-12-31,,1971.76,1852.28
2034-12-31,,1978.92,1903.39
2035-12-31,,1896.73,1865.9
2036-12-31,,1803.4,1841.71
2037-12-31,,1894.74,1901.03
2038-12-31,,1904.48,1801.13
2039-12-31,,1770.01,1852.51
2040-12-31,,1807.79,1865.4
2041-12-31,,1781.53,1805.27
2042-12-31,,1877.75,1742.57
2043-12-31,,1877.41,1751.45
2044-12-31,,1795.21,1781.73
2045-12-31,,1834.22,1790.32
2046-12-31,,1782.23,1760.49
2047-12-31,,1917.74,1686.83
2048-12-31,,1876.73,1730.09
2049-12-31,,1838.67,1710.02
2050-12-31,,1901.54,1603.0
2051-12-31,,1813.78,1750.1
2052-12-31,,1849.89,1678.57
2053-12-31,,1825.04,1658.47
2054-12-31,,1682.15,1671.83
2055-12-31,,1833.13,1679.0
2056-12-31,,1725.97,1616.0
2057-12-31,,1743.07,1695.9
2058-12-31,,1867.51,1626.55
2059-12-31,,1787.88,1509.0
2060-12-31,,1720.17,1610.64
2061-12-31,,1656.91,1532.89
2062-12-31,,1734.28,1571.72
2063-12-31,,1719.38,1600.6
2064-12-31,,1743.43,1569.94
2065-12-31,,1707.07,1503.37
2066-12-31,,1765.37,1482.16
2067-12-31,,1788.64,1589.61
2068-12-31,,1786.17,1508.22
2069-12-31,,1643.7,1502.56
2070-12-31,,1743.2,1435.8
2071-12-31,,1727.27,1499.69
2072-12-31,,1854.74,1516.76
2073-12-31,,1715.05,1429.43
2074-12-31,,1773.5,1402.01
2075-12-31,,1778.31,1481.9
2076-12-31,,1797.92,1409.05
2077-12-31,,1674.36,1461.31
2078-12-31,,1657.56,1406.37
2079-12-31,,1771.01,1351.47
2080-12-31,,1725.03,1313.49
2081-12-31,,1724.57,1319.42
2082-12-31,,1643.06,1343.95
2083-12-31,,1674.19,1343.53
2084-12-31,,1742.54,1306.91
2085-12-31,,1646.99,1302.98
2086-12-31,,1742.94,1350.34
2087-12-31,,1691.82,1282.25
2088-12-31,,1706.03,1341.54
2089-12-31,,1740.29,1297.48
2090-12-31,,1726.68,1272.58
2091-12-31,,1759.14,1156.6
2092-12-31,,1701.37,1252.87
2093-12-31,,1651.05,1273.94
2094-12-31,,1683.56,1175.39
2095-12-31,,1647.84,1281.53
2096-12-31,,1693.96,1205.57
2097-12-31,,1606.83,1274.89
2098-12-31,,1581.32,1232.44
2099-12-31,,1367.69,960.48
