date,mean
1950-12-31,25.44
1951-12-31,25.31
1952-12-31,25.41
1953-12-31,25.65
1954-12-31,25.29
1955-12-31,25.32
1956-12-31,25.33
1957-12-31,25.21
1958-12-31,25.25
1959-12-31,25.37
1960-12-31,25.39
1961-12-31,25.51
1962-12-31,25.39
1963-12-31,25.43
1964-12-31,25.17
1965-12-31,24.94
1966-12-31,25.34
1967-12-31,25.36
1968-12-31,24.93
1969-12-31,25.18
1970-12-31,25.17
1971-12-31,25.51
1972-12-31,25.5
1973-12-31,25.26
1974-12-31,25.24
1975-12-31,25.33
1976-12-31,25.12
1977-12-31,25.41
1978-12-31,25.47
1979-12-31,25.76
1980-12-31,25.46
1981-12-31,25.58
1982-12-31,25.21
1983-12-31,24.97
1984-12-31,25.34
1985-12-31,25.48
1986-12-31,25.53
1987-12-31,25.55
1988-12-31,25.5
1989-12-31,25.62
1990-12-31,25.69
1991-12-31,25.77
1992-12-31,24.95
1993-12-31,25.45
1994-12-31,25.74
1995-12-31,25.84
1996-12-31,25.55
1997-12-31,25.8
1998-12-31,26.09
1999-12-31,25.76
2000-12-31,26.05
2001-12-31,25.71
2002-12-31,26.07
2003-12-31,26.15
2004-12-31,25.97
2005-12-31,26.66
