date,spei
2015-12-31,-0.07
2016-12-31,-0.23
2017-12-31,-0.24
2018-12-31,-0.11
2019-12-31,0.13
2020-12-31,-0.35
2021-12-31,0.13
2022-12-31,-0.32
2023-12-31,-0.26
2024-12-31,-0.43
2025-12-31,-0.38
2026-12-31,-0.44
2027-12-31,-0.23
2028-12-31,-0.1
2029-12-31,-0.42
2030-12-31,-0.16
2031-12-31,-0.26
2032-12-31,-0.46
2033-12-31,-0.51
2034-12-31,-1.1
2035-12-31,-0.11
2036-12-31,-0.42
2037-12-31,-0.83
2038-12-31,-0.82
2039-12-31,0.04
2040-12-31,-0.09
2041-12-31,-0.16
2042-12-31,-0.35
2043-12-31,-0.73
2044-12-31,-0.43
2045-12-31,-0.36
2046-12-31,-0.49
2047-12-31,-0.36
2048-12-31,-0.32
2049-12-31,-1.03
2050-12-31,-1.19
2051-12-31,-0.7
2052-12-31,-0.42
2053-12-31,-0.2
2054-12-31,-0.78
2055-12-31,-1.22
2056-12-31,-0.6
2057-12-31,-0.51
2058-12-31,-0.53
2059-12-31,-0.69
2060-12-31,-0.8
2061-12-31,-0.82
2062-12-31,-0.86
2063-12-31,-0.25
2064-12-31,-0.26
2065-12-31,-0.5
2066-12-31,-0.34
2067-12-31,-0.58
2068-12-31,-0.8
2069-12-31,-1.12
2070-12-31,-0.57
2071-12-31,-0.71
2072-12-31,-0.39
2073-12-31,-0.14
2074-12-31,-0.41
2075-12-31,-0.97
2076-12-31,-0.42
2077-12-31,-1.22
2078-12-31,-0.77
2079-12-31,-0.85
2080-12-31,-0.85
2081-12-31,-0.27
2082-12-31,-1.08
2083-12-31,-1.13
2084-12-31,-1.02
2085-12-31,-1.27
2086-12-31,-1.38
2087-12-31,-1.24
2088-12-31,-1.05
2089-12-31,-0.35
2090-12-31,-1.08
2091-12-31,-1.43
2092-12-31,-0.86
2093-12-31,-0.4
2094-12-31,-1.01
2095-12-31,-1.46
2096-12-31,-1.12
2097-12-31,-1.16
2098-12-31,-1.0
2099-12-31,-0.62
2100-12-31,-0.57
