,historical,rcp45,rcp85
1950-12-31,0.03,,
1951-12-31,0.0,,
1952-12-31,0.0,,
1953-12-31,0.0,,
1954-12-31,0.0,,
1955-12-31,0.0,,
1956-12-31,0.0,,
1957-12-31,0.0,,
1958-12-31,0.0,,
1959-12-31,0.0,,
1960-12-31,0.0,,
1961-12-31,0.04,,
1962-12-31,0.0,,
1963-12-31,0.0,,
1964-12-31,0.0,,
1965-12-31,0.0,,
1966-12-31,0.0,,
1967-12-31,0.0,,
1968-12-31,0.0,,
1969-12-31,0.0,,
1970-12-31,0.0,,
1971-12-31,0.12,,
1972-12-31,0.0,,
1973-12-31,0.0,,
1974-12-31,0.0,,
1975-12-31,0.0,,
1976-12-31,0.04,,
1977-12-31,0.0,,
1978-12-31,0.0,,
1979-12-31,0.0,,
1980-12-31,0.0,,
1981-12-31,0.0,,
1982-12-31,0.0,,
1983-12-31,0.0,,
1984-12-31,0.0,,
1985-12-31,0.0,,
1986-12-31,0.09,,
1987-12-31,0.0,,
1988-12-31,0.03,,
1989-12-31,0.0,,
1990-12-31,0.0,,
1991-12-31,0.0,,
1992-12-31,0.0,,
1993-12-31,0.0,,
1994-12-31,0.12,,
1995-12-31,0.0,,
1996-12-31,0.03,,
1997-12-31,0.0,,
1998-12-31,0.0,,
1999-12-31,0.0,,
2000-12-31,0.0,,
2001-12-31,0.1,,
2002-12-31,0.0,,
2003-12-31,0.0,,
2004-12-31,0.04,,
2005-12-31,0.05,,
2006-12-31,,0.08,0.01
2007-12-31,,0.0,0.0
2008-12-31,,0.0,0.0
2009-12-31,,0.0,0.0
2010-12-31,,0.0,0.0
2011-12-31,,0.0,0.0
2012-12-31,,0.58,0.0
2013-12-31,,0.04,0.0
2014-12-31,,0.15,0.58
2015-12-31,,0.0,0.46
2016-12-31,,0.41,0.0
2017-12-31,,0.02,0.61
2018-12-31,,0.15,0.07
2019-12-31,,0.11,0.0
2020-12-31,,0.38,0.0
2021-12-31,,0.38,0.07
2022-12-31,,0.15,0.01
2023-12-31,,0.02,0.06
2024-12-31,,0.65,0.88
2025-12-31,,0.13,0.03
2026-12-31,,0.0,0.0
2027-12-31,,0.2,0.21
2028-12-31,,0.66,0.08
2029-12-31,,0.37,0.6
2030-12-31,,0.0,0.05
2031-12-31,,0.1,0.17
2032-12-31,,0.0,0.05
2033-12-31,,0.01,0.0
2034-12-31,,0.13,2.04
2035-12-31,,1.25,3.18
2036-12-31,,0.02,0.21
2037-12-31,,0.46,0.22
2038-12-31,,0.11,0.87
2039-12-31,,0.72,0.39
2040-12-31,,0.07,0.79
2041-12-31,,1.02,1.32
2042-12-31,,1.1,1.34
2043-12-31,,0.63,0.35
2044-12-31,,0.63,5.9
2045-12-31,,2.05,0.55
2046-12-31,,0.35,0.38
2047-12-31,,0.52,0.66
2048-12-31,,0.16,5.03
2049-12-31,,0.4,3.83
2050-12-31,,0.71,1.84
2051-12-31,,1.8,4.79
2052-12-31,,0.15,2.2
2053-12-31,,0.56,5.93
2054-12-31,,0.25,4.92
2055-12-31,,2.65,3.21
2056-12-31,,1.43,1.8
2057-12-31,,0.87,5.09
2058-12-31,,1.94,4.36
2059-12-31,,3.34,6.77
2060-12-31,,3.43,4.26
2061-12-31,,0.18,8.68
2062-12-31,,2.24,9.32
2063-12-31,,0.15,8.61
2064-12-31,,1.78,11.0
2065-12-31,,0.67,22.13
2066-12-31,,1.31,11.88
2067-12-31,,2.55,13.83
2068-12-31,,1.27,24.89
2069-12-31,,2.4,28.47
2070-12-31,,4.11,27.58
2071-12-31,,3.85,28.47
2072-12-31,,3.59,29.42
2073-12-31,,1.29,38.29
2074-12-31,,7.82,40.79
2075-12-31,,4.04,48.15
2076-12-31,,2.03,37.86
2077-12-31,,2.59,47.93
2078-12-31,,2.13,45.82
2079-12-31,,5.49,45.77
2080-12-31,,3.55,56.68
2081-12-31,,4.37,40.31
2082-12-31,,8.03,57.72
2083-12-31,,4.48,56.5
2084-12-31,,12.72,67.64
2085-12-31,,4.36,62.34
2086-12-31,,8.33,56.05
2087-12-31,,6.89,72.23
2088-12-31,,3.45,70.29
2089-12-31,,5.98,52.67
2090-12-31,,1.65,92.12
2091-12-31,,5.74,76.74
2092-12-31,,5.54,107.36
2093-12-31,,3.25,90.44
2094-12-31,,1.79,125.5
2095-12-31,,7.55,98.04
2096-12-31,,1.49,129.17
2097-12-31,,2.69,112.7
2098-12-31,,0.55,94.81
2099-12-31,,2.28,116.76
