date,mean
2006-12-31,13.73
2007-12-31,13.87
2008-12-31,13.87
2009-12-31,13.8
2010-12-31,13.91
2011-12-31,14.05
2012-12-31,14.11
2013-12-31,14.16
2014-12-31,14.28
2015-12-31,13.9
2016-12-31,14.14
2017-12-31,14.16
2018-12-31,14.26
2019-12-31,14.55
2020-12-31,14.41
2021-12-31,14.09
2022-12-31,14.27
2023-12-31,14.54
2024-12-31,14.54
2025-12-31,14.51
2026-12-31,14.48
2027-12-31,14.33
2028-12-31,14.49
2029-12-31,14.8
2030-12-31,15.13
2031-12-31,14.83
2032-12-31,14.97
2033-12-31,14.93
2034-12-31,15.11
2035-12-31,15.0
2036-12-31,15.15
2037-12-31,15.26
2038-12-31,15.43
2039-12-31,15.1
2040-12-31,15.08
2041-12-31,15.5
2042-12-31,15.66
2043-12-31,15.69
2044-12-31,15.61
2045-12-31,15.6
2046-12-31,15.7
2047-12-31,15.91
2048-12-31,15.93
2049-12-31,15.89
2050-12-31,16.2
2051-12-31,16.17
2052-12-31,15.99
2053-12-31,16.3
2054-12-31,16.38
2055-12-31,16.34
2056-12-31,16.44
2057-12-31,16.24
2058-12-31,16.6
2059-12-31,16.81
2060-12-31,16.63
2061-12-31,16.68
2062-12-31,16.7
2063-12-31,16.89
2064-12-31,17.1
2065-12-31,17.17
2066-12-31,17.02
2067-12-31,17.02
2068-12-31,17.28
2069-12-31,17.4
2070-12-31,17.42
2071-12-31,17.51
2072-12-31,17.36
2073-12-31,17.78
2074-12-31,17.69
2075-12-31,17.67
2076-12-31,17.79
2077-12-31,17.78
2078-12-31,17.85
2079-12-31,17.91
2080-12-31,18.11
2081-12-31,18.28
2082-12-31,18.29
2083-12-31,18.19
2084-12-31,18.23
2085-12-31,18.48
2086-12-31,18.13
2087-12-31,18.55
2088-12-31,18.77
2089-12-31,18.74
2090-12-31,18.79
2091-12-31,18.83
2092-12-31,18.9
2093-12-31,19.02
2094-12-31,19.09
2095-12-31,18.89
2096-12-31,19.1
2097-12-31,19.19
2098-12-31,19.2
2099-12-31,20.29
