date,spei
2015-12-31,0.14
2016-12-31,0.13
2017-12-31,0.24
2018-12-31,0.43
2019-12-31,0.09
2020-12-31,0.11
2021-12-31,0.39
2022-12-31,0.13
2023-12-31,0.28
2024-12-31,0.21
2025-12-31,0.09
2026-12-31,-0.01
2027-12-31,-0.29
2028-12-31,0.12
2029-12-31,0.27
2030-12-31,0.4
2031-12-31,-0.0
2032-12-31,0.02
2033-12-31,0.3
2034-12-31,0.33
2035-12-31,-0.54
2036-12-31,0.13
2037-12-31,0.14
2038-12-31,0.26
2039-12-31,0.2
2040-12-31,0.16
2041-12-31,-0.03
2042-12-31,-0.32
2043-12-31,0.42
2044-12-31,0.84
2045-12-31,0.14
2046-12-31,0.3
2047-12-31,0.38
2048-12-31,0.02
2049-12-31,0.1
2050-12-31,0.35
2051-12-31,-0.1
2052-12-31,0.53
2053-12-31,0.43
2054-12-31,0.06
2055-12-31,0.53
2056-12-31,-0.06
2057-12-31,0.36
2058-12-31,0.21
2059-12-31,0.33
2060-12-31,0.56
2061-12-31,0.64
2062-12-31,0.41
2063-12-31,0.38
2064-12-31,0.32
2065-12-31,-0.09
2066-12-31,-0.28
2067-12-31,-0.06
2068-12-31,0.9
2069-12-31,0.52
2070-12-31,0.03
2071-12-31,-0.06
2072-12-31,0.9
2073-12-31,0.76
2074-12-31,0.49
2075-12-31,0.6
2076-12-31,-0.02
2077-12-31,0.26
2078-12-31,0.21
2079-12-31,0.04
2080-12-31,0.53
2081-12-31,0.88
2082-12-31,0.3
2083-12-31,0.67
2084-12-31,0.45
2085-12-31,0.05
2086-12-31,0.78
2087-12-31,0.0
2088-12-31,1.24
2089-12-31,0.83
2090-12-31,0.56
2091-12-31,0.06
2092-12-31,-0.24
2093-12-31,0.29
2094-12-31,0.85
2095-12-31,0.48
2096-12-31,0.37
2097-12-31,0.78
2098-12-31,0.82
2099-12-31,0.85
2100-12-31,0.57
